YEAR,VALUE,VALUE_clipped
1959,3382.0,3382.0
1960,3427.625,3523.5
1961,3443.375,3518.75
1962,3781.5,3803.75
1963,4013.875,4013.875
1964,4137.0,4137.0
1965,4257.5,4257.5
1966,4380.5,4380.5
1967,4540.5,4540.5
1968,4471.875,4471.875
1969,4426.375,4426.375
1970,4629.5,4629.5
1971,4748.25,4748.25
1972,4704.375,4704.375
1973,4347.125,4347.125
1974,4373.75,4373.75
1975,4485.75,4485.75
1976,4592.0,4592.0
1977,4363.0,4363.0
1978,4467.25,4467.25
1979,4503.5,4503.5
1980,4397.0,4397.0
1981,4786.0,4786.0
1982,4732.5,4732.5
1983,4595.75,4595.75
1984,4958.5,4958.5
1985,5418.5,5418.5
1986,5702.75,5702.75
1987,5607.5,5607.5
1988,5537.25,5537.25
1989,5753.5,5753.5
1990,5627.25,5627.25
1991,5851.5,5851.5
1992,5802.75,5802.75
1993,5565.0,5565.0
1994,5997.25,5997.25
1995,5649.0,5649.0
1996,6062.5,6062.5
1997,5871.75,5871.75
1998,5638.25,5638.25
1999,5850.25,5850.25
2000,6249.0,6249.0
2001,6557.75,6557.75
2002,6598.25,6598.25
2003,6631.25,6631.25
2004,6935.75,6935.75
2005,6597.25,6597.25
2006,6850.75,6850.75
2007,7101.0,7101.0
2008,6859.0,6859.0
2009,7131.25,7131.25
2010,6817.5,6817.5
2011,7013.0,7013.0
2012,7443.25,7443.25
2013,7612.25,7612.25
2014,7504.0,7504.0
2015,7393.0,7386.05
2016,7256.75,7256.05
2017,7465.5,7465.5
2018,7718.0,7718.0
2019,7417.25,7417.25
2020,7637.5,7637.5
2021,7423.59375,7397.44375
2022,7196.612903225807,7190.625806451612
2023,7411.709677419355,7411.709677419355
2024,7495.09375,7493.35625
