TABLE_NAME,TABLE_NUMBER,COMMODITY_DESCRIPTION,CLASS_DESCRIPTION,YEAR,REFERENCE_PERIOD_DESCRIPTION,LOCATION_DESCRIPTION,STATISTIC_DESCRIPTION,VALUE,UNIT_DESCRIPTION,is_us_total,is_all_classes,VALUE_clipped
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1960,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,4775.0,POUNDS PER ACRE,False,True,4775.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1960,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,2850.0,POUNDS PER ACRE,True,True,3214.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1960,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,3400.0,POUNDS PER ACRE,False,True,3400.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1960,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,2950.0,POUNDS PER ACRE,False,True,3214.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1960,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,3525.0,POUNDS PER ACRE,False,True,3525.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1960,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,3075.0,POUNDS PER ACRE,False,True,3214.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1960,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,3423.0,POUNDS PER ACRE,True,True,3423.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1961,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,2900.0,POUNDS PER ACRE,False,True,3214.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1961,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,2925.0,POUNDS PER ACRE,True,True,3214.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1961,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,4800.0,POUNDS PER ACRE,False,True,4800.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1961,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,3411.0,POUNDS PER ACRE,True,True,3411.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1961,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,3500.0,POUNDS PER ACRE,False,True,3500.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1961,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,3300.0,POUNDS PER ACRE,False,True,3300.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1961,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,3300.0,POUNDS PER ACRE,False,True,3300.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1962,CROP YEAR (AUGUST-JULY),TEXAS,YIELD,3550.0,POUNDS PER ACRE,False,True,3550.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1962,CROP YEAR (AUGUST-JULY),U.S. TOTAL,YIELD,3726.0,POUNDS PER ACRE,True,True,3726.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1962,CROP YEAR (AUGUST-JULY),ARKANSAS,YIELD,3850.0,POUNDS PER ACRE,False,True,3850.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1962,CROP YEAR (AUGUST-JULY),MISSISSIPPI,YIELD,3200.0,POUNDS PER ACRE,False,True,3214.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1962,CROP YEAR (AUGUST-JULY),CALIFORNIA,YIELD,4950.0,POUNDS PER ACRE,False,True,4950.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1962,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,3050.0,POUNDS PER ACRE,True,True,3214.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1962,CROP YEAR (AUGUST-JULY),MISSOURI,YIELD,4200.0,POUNDS PER ACRE,False,True,4200.0
"U.S. and State average rice yields per harvested acre, 1960 to present",2,RICE,ALL CLASSES,1963,CROP YEAR (AUGUST-JULY),LOUISIANA,YIELD,3325.0,POUNDS PER ACRE,True,True,3325.0
